longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household,monthly_rent,roi,neighborhood_investment,sell_speed,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,6.984126984126984,0.14659090909090908,2.5555555555555554,1184.6336090972814,12.65239937637249,Medium,Fast,False,False,False,True,False
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,6.238137082601054,0.15579659106916466,2.109841827768014,1604.9474670233133,17.283261265658297,High,Fast,False,False,False,True,False
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,8.288135593220339,0.12951601908657123,2.8022598870056497,1651.1035001771502,12.435835903137683,Medium,Fast,False,False,False,True,False
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,5.8173515981735155,0.18445839874411302,2.547945205479452,1268.62833608913,11.087357597219242,Medium,Medium,False,False,False,True,False
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,6.281853281853282,0.1720958819913952,2.1814671814671813,774.994302401446,7.009416007940077,Low,Slow,False,False,False,True,False
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,4.761658031088083,0.23177366702937977,2.139896373056995,564.9796665446611,11.837121400148515,Medium,Medium,False,False,False,True,False
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,4.9319066147859925,0.19289940828402366,2.1284046692607004,905.2432006912534,9.856025817348666,Low,Medium,False,False,False,True,False
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,4.797527047913447,0.22132731958762886,1.7882534775888717,1439.6139498032496,16.939853082463454,Medium,Medium,False,False,False,True,False
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,4.294117647058823,0.2602739726027397,2.026890756302521,651.171245376034,10.463600461541326,Medium,Medium,False,False,False,True,False
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,4.970588235294118,0.1992110453648915,2.172268907563025,1028.9812576090817,16.18105232471912,Medium,Medium,False,False,False,True,False
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,5.477611940298507,0.19709355131698456,2.263681592039801,697.5611801132848,8.10660404135049,Low,Medium,False,False,False,True,False
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,4.772479564032698,0.2146731373108764,2.0490463215258856,1399.9143755306213,16.993316890232048,Medium,Medium,False,False,False,True,False
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,5.322649572649572,0.1902850260939382,2.3461538461538463,1015.8238212532472,15.51723353547989,Medium,Medium,False,False,False,True,False
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,4.0,0.2744252873563218,1.9827586206896552,500.0,12.189587795903869,Medium,Medium,False,False,False,True,False
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,4.262903225806451,0.23685206205069997,1.9548387096774194,500.0,9.53431682313045,Low,Medium,False,False,False,True,False
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,4.242424242424242,0.2526785714285714,2.640151515151515,500.0,13.348015926331392,Medium,Medium,False,False,False,True,False
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,5.9395770392749245,0.17650050864699898,2.395770392749245,500.0,12.188175711101607,Medium,Medium,False,False,False,True,False
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,4.052805280528053,0.23859934853420195,2.1386138613861387,914.4040813671743,11.395982097763795,Medium,Medium,False,False,False,True,False
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,5.343675417661098,0.20321572130415363,2.3627684964200477,500.0,14.897264315953258,Medium,Medium,False,False,False,True,False
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,5.465454545454546,0.19827012641383898,2.5090909090909093,500.0,10.992018420468042,Medium,Medium,False,False,False,True,False
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,4.524096385542169,0.24500665778961384,2.463855421686747,568.6765917319948,15.588956816309068,Medium,Medium,False,False,False,True,False
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,4.478142076502732,0.2239170225747407,2.5382513661202184,574.2358242587184,12.176835980337097,Medium,Medium,False,False,False,True,False
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,5.096234309623431,0.22208538587848933,2.1234309623430963,500.0,15.232430879889838,Medium,Medium,False,False,False,True,False
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,5.193846153846154,0.19964454976303317,2.624615384615385,601.6814229699614,13.52285256051095,Medium,Medium,False,False,False,True,False
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,5.270142180094787,0.19649280575539568,2.3838862559241707,500.0,12.953756786485021,Medium,Medium,False,False,False,True,False
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,4.495798319327731,0.22990654205607478,2.6638655462184873,500.0,13.869279335092562,Medium,Medium,False,False,False,True,False
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,4.7280334728033475,0.215929203539823,2.5397489539748954,500.0,13.74938643135546,Medium,Medium,False,False,False,True,False
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,4.7808564231738035,0.22181243414120128,2.7758186397984885,526.5103943936151,12.250298194657285,Medium,Medium,False,False,False,True,False
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,4.40169133192389,0.23631123919308358,2.3911205073995774,500.0,7.376040411599372,Low,Slow,False,False,False,True,False
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,4.703225806451613,0.2194787379972565,2.5483870967741935,500.0,10.853935728467377,Medium,Medium,False,False,False,True,False
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,5.068783068783069,0.23329853862212943,2.2830687830687832,500.0,14.306987156014918,Medium,Medium,False,False,False,True,False
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,4.882086167800454,0.22340919647004182,2.6485260770975056,500.0,10.417874235553008,Medium,Medium,False,False,False,True,False
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,5.737313432835821,0.21279916753381894,3.062686567164179,500.0,11.058515329038414,Medium,Medium,False,False,False,True,False
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,5.0303951367781155,0.22114803625377644,2.291793313069909,527.0385132127072,11.159313619259612,Medium,Medium,False,False,False,True,False
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,4.972014925373134,0.2153846153846154,2.3470149253731343,500.0,13.88723840217444,Medium,Medium,False,False,False,True,False
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,4.6022727272727275,0.23209876543209876,2.159090909090909,500.0,12.386026335986323,Medium,Medium,False,False,False,True,False
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,4.807486631016043,0.24026696329254726,2.6390374331550803,848.3956490223435,20.18302833551809,Medium,Medium,False,False,False,True,False
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,3.7493796526054592,0.25810721376571805,2.235732009925558,500.0,15.244022859859337,Medium,Medium,False,False,False,True,False
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,4.757281553398058,0.22448979591836735,2.2297734627831716,852.2757259764444,13.743669607378065,Medium,Medium,False,False,False,True,False
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,3.4942528735632186,0.29399671052631576,1.978448275862069,500.0,12.016990242242613,Medium,Medium,False,False,False,True,False
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,4.215189873417722,0.25165165165165165,2.3949367088607594,500.0,10.335107715704456,Medium,Medium,False,False,False,True,False
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,3.7590361445783134,0.33226495726495725,2.076305220883534,556.9608298305394,10.930301386654829,Medium,Medium,False,False,False,True,False
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,3.7724867724867726,0.28330995792426367,2.4444444444444446,500.0,14.472558143669076,Medium,Medium,False,False,False,True,False
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,4.797979797979798,0.21263157894736842,2.3585858585858586,1210.1866890453834,17.518648596291353,Medium,Medium,False,False,False,True,False
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,4.941780821917808,0.21552321552321552,2.26027397260274,583.6178711884963,13.20247184483683,Medium,Medium,False,False,False,True,False
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,4.335078534031414,0.2536231884057971,1.8795811518324608,732.9779810266732,11.883703459682044,Medium,Medium,False,False,False,True,False
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,3.700657894736842,0.2862222222222222,2.026315789473684,500.0,11.427882160748906,Medium,Medium,False,False,False,True,False
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,3.9802371541501977,0.3098311817279047,2.205533596837945,804.7360841297261,13.159637716067552,Medium,Medium,False,False,False,True,False
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,3.9,0.3125,2.64375,892.2996877667586,15.247225676223026,Medium,Medium,False,False,False,True,False
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,2.6875,0.3964059196617336,1.9886363636363635,500.0,9.410422209252733,Low,Medium,False,False,False,True,False
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,2.045662100456621,0.5055803571428571,1.678082191780822,917.0304966879465,9.993136442208765,Low,Medium,False,False,False,True,False
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,4.58968058968059,0.24411134903640258,2.6068796068796067,500.0,10.386869741239035,Medium,Medium,False,False,False,True,False
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,4.473611111111111,0.26482458863706926,2.720833333333333,500.0,9.868467588457495,Low,Medium,False,False,False,True,False
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,4.075,0.27975460122699386,2.905,677.5977328537788,18.517710588260538,Medium,Medium,False,False,False,True,False
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,5.021459227467811,0.20085470085470086,3.0085836909871246,512.1851209951272,16.59786381507372,Medium,Medium,False,False,False,True,False
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,4.295454545454546,0.2571428571428571,2.618181818181818,500.0,12.823023403132087,Medium,Medium,False,False,False,True,False
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,4.77992277992278,0.23263327948303716,2.4015444015444016,500.0,14.645277043767965,Medium,Medium,False,False,False,True,False
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,6.102459016393443,0.22498321020819342,2.9836065573770494,513.5141099251774,18.155694838086095,Medium,Medium,False,False,False,True,False
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,4.5625,0.24585436193222782,3.5328947368421053,500.0,16.472377316544648,Medium,Medium,False,False,False,True,False
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,2.7719298245614037,0.2721518987341772,1.6491228070175439,500.0,22.22875253594161,Medium,Medium,False,False,False,True,False
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,5.994652406417113,0.18822479928635147,2.962566844919786,500.0,15.697491509885698,Medium,Medium,False,False,False,True,False
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,5.869565217391305,0.21481481481481482,3.739130434782609,500.0,14.68968210725487,Medium,Fast,False,False,False,True,False
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,6.229508196721311,0.25,3.0901639344262297,551.4721713202656,13.523804960288011,Medium,Medium,False,False,False,True,False
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,7.69811320754717,0.19362745098039216,3.2767295597484276,500.0,15.931651992282202,Medium,Medium,False,False,False,True,False
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,6.225563909774436,0.21980676328502416,2.9473684210526314,500.0,18.035394089296382,Medium,Medium,False,False,False,True,False
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,5.401069518716578,0.20693069306930692,3.229946524064171,500.0,15.851311291028377,Medium,Medium,False,False,False,True,False
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,4.382530120481928,0.24329896907216494,2.3734939759036147,500.0,14.392614740050465,Medium,Medium,False,False,False,True,False
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,6.98639455782313,0.23758519961051608,3.3469387755102042,500.0,17.893114671372434,Medium,Medium,False,False,False,True,False
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,6.975609756097561,0.19055944055944055,3.341463414634146,500.0,16.116607721677774,Medium,Medium,False,False,False,True,False
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,4.584288052373159,0.22991788646911818,2.983633387888707,969.9791671878988,16.78222143884593,Medium,Medium,False,False,False,True,False
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,6.047244094488189,0.19791666666666666,3.0866141732283463,500.0,13.739544725837096,Medium,Medium,False,False,False,True,False
